id,resume_url,has_fnb_experience,has_retail_experience,relevant_experience_years,has_waiter_or_service_role,has_baker_or_cake_decorator_role,has_retail_supervisor_role,has_sales_assistant_role
1711940,,-,-,-,-,-,-,-
1712344,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/7997aaf1b3897bf14d44b96b6e995ddf8eeb5360531caab867863587590569c6.pdf,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
1712561,,-,-,-,-,-,-,-
1713455,,-,-,-,-,-,-,-
1714606,,-,-,-,-,-,-,-
1714807,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/89de01bd85e8aa9656098a9245d391a35f87ce689698e2fc14fd5c4e09ea4e3b.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1715427,,-,-,-,-,-,-,-
1718015,,-,-,-,-,-,-,-
1718743,,-,-,-,-,-,-,-
1719819,,-,-,-,-,-,-,-
1721134,,-,-,-,-,-,-,-
1721284,,-,-,-,-,-,-,-
1721423,,-,-,-,-,-,-,-
1721926,,-,-,-,-,-,-,-
1722340,,-,-,-,-,-,-,-
1722540,,-,-,-,-,-,-,-
1723250,,-,-,-,-,-,-,-
1724576,,-,-,-,-,-,-,-
1725023,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/04c010d52d2adbc4136c4004955a324564b7e92787ff78799a8c9c50b231d6e5.pdf,TRUE,FALSE,8,TRUE,FALSE,FALSE,FALSE
1725438,,-,-,-,-,-,-,-
1725893,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/af3f992a7b27bd5bd44887323a7ecf6e249f83c78fe827b4590a1586bb7a25b3.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1726087,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/2bc1bbfd56f67b9d4f11483c31e552ed7b0ba73f6afe9111d726d2721f90567c.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1726559,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/d6bdaaf0a40da272116991f4be7d07538a046562da73b014613ece31945a2cef.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1726638,,-,-,-,-,-,-,-
1727313,,-,-,-,-,-,-,-
1728055,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/72ef6fb8e4254a8faf6f2bd24df42b1102d0166f847cb457ec3f45bb316c329b.pdf,-,-,-,-,-,-,-
1728580,,-,-,-,-,-,-,-
1728820,,-,-,-,-,-,-,-
1729179,,-,-,-,-,-,-,-
1729572,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/89fbf2ad925b39363c297691013ae91b2ef7577880fb9fa9a9074bf38fbfd45a.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1731030,,-,-,-,-,-,-,-
1731120,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/92c24a56e6c6a041ac63e2d68149ca272b5c43a59e344932017b9b0b49bd451b.pdf,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
1731390,,-,-,-,-,-,-,-
1731504,,-,-,-,-,-,-,-
1731599,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/cce86d9abe556191cfab55c8e359f1808a8174fc4157a6d8b68607e14654f061.pdf,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
1731890,,-,-,-,-,-,-,-
1732180,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/f36dcd2572609ffe5d79dd26c89fc72b85bc9ad34a4d5c8d2c6e4b6c676be2b6.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1732584,,-,-,-,-,-,-,-
1732744,,-,-,-,-,-,-,-
1733452,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/ef5e65b346b58999eb49a23ac7ce80409c625e4b293d34372948bb21847d34a5.pdf,FALSE,TRUE,0,FALSE,FALSE,TRUE,TRUE
1733846,,-,-,-,-,-,-,-
1733978,,-,-,-,-,-,-,-
1734074,,-,-,-,-,-,-,-
1734093,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/6610ee62cab61abeb874d404e3cf8ce11a55a2a237835787446400ed07ecb9ff.pdf,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
1734129,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/5303d6d8c1bd8f7bc199184e705ac6e1562d16ac954e4302aafdf45816ba1492.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1734220,,-,-,-,-,-,-,-
1734817,,-,-,-,-,-,-,-
1735436,,-,-,-,-,-,-,-
1736148,,-,-,-,-,-,-,-
1737208,,-,-,-,-,-,-,-
1737406,,-,-,-,-,-,-,-
1737537,,-,-,-,-,-,-,-
1737551,,-,-,-,-,-,-,-
1737663,,-,-,-,-,-,-,-
1738185,,-,-,-,-,-,-,-
1738618,,-,-,-,-,-,-,-
1738622,,-,-,-,-,-,-,-
1738765,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/55ccbc304959160be9395ae1b2a893e1130232ffb8a85733c21b3c8a3b0d67db.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1738871,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/7d8027ec8ff3368040ee78f6d3bc51ba2bd4bf7088af5675eba0b2c033d1d9b5.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1738903,,-,-,-,-,-,-,-
1738997,,-,-,-,-,-,-,-
1739097,,-,-,-,-,-,-,-
1739161,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/13b0e59fd90a2a9010135fde50582440e11886f44fa3cbe25df4a53791d4e940.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1739549,,-,-,-,-,-,-,-
1739823,,-,-,-,-,-,-,-
1739916,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/ae19f3698ef3bc99d3e5be6e49defbeaca79b4943c052734756b021765976e1a.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1739961,,-,-,-,-,-,-,-
1740040,,-,-,-,-,-,-,-
1740083,,-,-,-,-,-,-,-
1740110,,-,-,-,-,-,-,-
1740239,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/4227cc2636e1c6e57c8b6b1fbda43dc85601d819541d90170c0fdd1d2cbcd050.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1740259,,-,-,-,-,-,-,-
1740370,,-,-,-,-,-,-,-
1740526,,-,-,-,-,-,-,-
1740552,,-,-,-,-,-,-,-
1740560,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/7e3591fc46760dc91497f5106f07ba91211dac026d23d6065273d30a4e67d442.pdf,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
1741028,,-,-,-,-,-,-,-
1741200,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/4e5403535db99167cd36912fd749164467929270122ec2d5d8dcd8fc3f17b74c.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1741204,,-,-,-,-,-,-,-
1741318,,-,-,-,-,-,-,-
1741631,,-,-,-,-,-,-,-
1741647,,-,-,-,-,-,-,-
1741814,,-,-,-,-,-,-,-
1741889,,-,-,-,-,-,-,-
1741891,,-,-,-,-,-,-,-
1742007,,-,-,-,-,-,-,-
1742023,,-,-,-,-,-,-,-
1742125,,-,-,-,-,-,-,-
1742173,,-,-,-,-,-,-,-
1742189,,-,-,-,-,-,-,-
1742216,,-,-,-,-,-,-,-
1742254,,-,-,-,-,-,-,-
1742257,,-,-,-,-,-,-,-
1742266,,-,-,-,-,-,-,-
1742290,,-,-,-,-,-,-,-
1742291,,-,-,-,-,-,-,-
1742296,,-,-,-,-,-,-,-
1742343,,-,-,-,-,-,-,-
1742469,,-,-,-,-,-,-,-
1742477,,-,-,-,-,-,-,-
1742506,,-,-,-,-,-,-,-
1742563,,-,-,-,-,-,-,-
1742588,,-,-,-,-,-,-,-
1742620,,-,-,-,-,-,-,-
1742656,,-,-,-,-,-,-,-
1742703,,-,-,-,-,-,-,-
1742720,,-,-,-,-,-,-,-
1742737,,-,-,-,-,-,-,-
1742759,,-,-,-,-,-,-,-
1742763,,-,-,-,-,-,-,-
1742829,,-,-,-,-,-,-,-
1742886,,-,-,-,-,-,-,-
1742896,,-,-,-,-,-,-,-
1742938,,-,-,-,-,-,-,-
1742946,,-,-,-,-,-,-,-
1743000,,-,-,-,-,-,-,-
1743003,,-,-,-,-,-,-,-
1743126,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/45f112c6bce76710d4adf4bdc632c2bae2fd528fa442ace5dce54a25319393a4.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1743150,,-,-,-,-,-,-,-
1743182,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/2c352ead954cea5e82f09e20073dfea36ab6200eef0c8451d08f8dd756e5e177.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1743183,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/10f30b105ea6b370103aff81e8833796728ae8a10d9e7caabe8a63cd73326d5b.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1743216,,-,-,-,-,-,-,-
1743292,,-,-,-,-,-,-,-
1743301,,-,-,-,-,-,-,-
1743335,,-,-,-,-,-,-,-
1743363,,-,-,-,-,-,-,-
1743393,,-,-,-,-,-,-,-
1743396,,-,-,-,-,-,-,-
1743443,,-,-,-,-,-,-,-
1743460,,-,-,-,-,-,-,-
1743493,,-,-,-,-,-,-,-
1743529,,-,-,-,-,-,-,-
1743539,,-,-,-,-,-,-,-
1743541,,-,-,-,-,-,-,-
